,,,,,,,,,,,
,WP name,,,,,,Position (Lat / Long.),,,,Course (to next WP)
,,,,,,,,,,,
,BUOY KP 10,,,,,,Latitude: 24.87093° N,,,,357.6°
,,,,,,,Longitude: 54.63802° E,,,,
,B. PILOT STAION,,,,,,Latitude: 24.89978° N,,,,313°
,,,,,,,Longitude: 54.63668° E,,,,
,FAIRWAY BUOY,,,,,,Latitude: 24.95613° N,,,,306.6°
,,,,,,,Longitude: 54.57007° E,,,,
,AT SEA,,,,,,Latitude: 25.03870° N,,,,277.6°
,,,,,,,Longitude: 54.44730° E,,,,
,AT SEA,,,,,,Latitude: 25.15530° N,,,,246.4°
,,,,,,,Longitude: 53.47642° E,,,,
,ZAQQUM LB,,,,,,Latitude: 25.12950° N,,,,229.1°
,,,,,,,Longitude: 53.41133° E,,,,
,ZAQQUM E,,,,,,Latitude: 25.05588° N,,,,251.8°
,,,,,,,Longitude: 53.31748° E,,,,
,ZAQQUM W,,,,,,Latitude: 24.95602° N,,,,191.3°
,,,,,,,Longitude: 52.98238° E,,,,
,OUTER FAIRWAY,,,,,,Latitude: 24.75645° N,,,,224.9°
,,,,,,,Longitude: 52.93848° E,,,,
,EG 2,,,,,,Latitude: 24.57037° N,,,,211.3°
,,,,,,,Longitude: 52.73428° E,,,,
,N.CHANNEL BUOY,,,,,,Latitude: 24.50063° N,,,,177.9°
,,,,,,,Longitude: 52.68767° E,,,,
,EG4,,,,,,Latitude: 24.45137° N,,,,163.1°
,,,,,,,Longitude: 52.68963° E,,,,
,EG3,,,,,,Latitude: 24.44152° N,,,,182.2°
,,,,,,,Longitude: 52.69292° E,,,,
