WP,,,,,,Position,,,,Course
Name,,,,,,(Lat / Long.),,,,(to next WP)
EG 3,,,,,,Latitude: 24.44155° N,,,,341.8°
,,,,,,Longitude: 52.69290° E,,,,
EG4,,,,,,Latitude: 24.45113° N,,,,358.1°
,,,,,,Longitude: 52.68943° E,,,,
AT SEA,,,,,,Latitude: 24.52445° N,,,,43.6°
,,,,,,Longitude: 52.68672° E,,,,
AT SEA,,,,,,Latitude: 24.57032° N,,,,41.7°
,,,,,,Longitude: 52.73477° E,,,,
AT SEA,,,,,,Latitude: 24.66270° N,,,,45.2°
,,,,,,Longitude: 52.82523° E,,,,
OUTER FAIR WAY,,,,,,Latitude: 24.75640° N,,,,169
,,,,,,Longitude: 52.92923° E,,,,
ZAQQUM WEST,,,,,,Latitude: 24.93100° N,,,,71.6°
,,,,,,Longitude: 53.01498° E,,,,
ZAQQUM E,,,,,,Latitude: 25.02708° N,,,,49.2°
,,,,,,Longitude: 53.33393° E,,,,
ZAQQUM LB,,,,,,Latitude: 25.12668° N,,,,96.4°
,,,,,,Longitude: 53.46115° E,,,,
AT SEA,,,,,,Latitude: 25.02320° N,,,,131.4°
,,,,,,Longitude: 54.47973° E,,,,
AT SEA,,,,,,Latitude: 24.97342° N,,,,126.1°
,,,,,,Longitude: 54.54213° E,,,,
AT SEA,,,,,,Latitude: 24.93107° N,,,,138.4°
,,,,,,Longitude: 54.60630° E,,,,
PILOT STAION,,,,,,Latitude: 24.89997° N,,,,228.8°
,,,,,,Longitude: 54.63677° E,,,,
